お店名(予約CSV),略称(自動),判定,月間件数
【ニキビ・毛穴ケア｜ハーブピーリング】韓国肌管理Belle 静岡,Belle静岡,A:完全一致,104
【毛穴｜ハーブピーリング】韓国肌管理Belle 熊本・水前寺,Belle熊本・水前寺,A:完全一致,103
［韓国肌管理｜ハーブピーリング］ニキビケア専門店Belle新宿西口,Belle新宿西口,A:完全一致,103
【毛穴｜ハーブピーリング】韓国肌管理Belle 戸塚,Belle戸塚,A:完全一致,102
ハーブピーリング LIME新宿西口,LIME新宿西口,A:完全一致,102
【毛穴｜ハーブピーリング】韓国肌管理Belle 八王子,Belle八王子,A:完全一致,97
【ハーブピーリング・フェイシャル】LIME 越谷店,直営 新越谷,A:完全一致,96
【毛穴｜ハーブピーリング】韓国肌管理Belle 池袋東口,Belle池袋東口,A:完全一致,95
【毛穴｜ハーブピーリング】韓国肌管理Belle 大和,Belle大和,A:完全一致,94
ハーブピーリング/小顔コルギ/ニキビケア LIME浦和,LIME浦和,A:完全一致,94
ハーブピーリングLIME中野,LIME中野,A:完全一致,92
【毛穴│ハーブピーリング】LIME 札幌,LIME札幌,A:完全一致,91
【毛穴│ハーブピーリング】韓国肌管理Belle 札幌,Belle札幌,A:完全一致,90
【ハーブピーリング｜ニキビケア】韓国肌管理Belle 原宿,Belle原宿,A:完全一致,87
【韓国肌管理｜ハーブピーリング】ニキビケア専門店Belle藤沢,Belle藤沢,A:完全一致,85
【毛穴｜ハーブピーリング｜痩身】韓国肌管理Belle 熊本店,Belle熊本,A:完全一致,84
小顔専門店Lift(リフト) 新潟店,Lift新潟,A:完全一致,83
【毛穴｜ハーブピーリング】韓国肌管理Belle 本厚木,Belle本厚木,A:完全一致,81
【毛穴｜ハーブピーリング】韓国肌管理Belle 神戸元町,Belle神戸元町,A:完全一致,77
【毛穴｜ハーブピーリング】韓国肌管理Belle 調布,Belle調布,A:完全一致,76
【毛穴｜ハーブピーリング】LIME 五反田,LIME五反田,A:完全一致,75
［韓国肌管理｜ハーブピーリング］ニキビケア専門店Belle上野,Belle上野,A:完全一致,75
【ニキビケア専門｜ハーブピーリング】韓国肌管理 Belle 水戸,Belle水戸,A:完全一致,74
【毛穴｜ハーブピーリング】韓国肌管理Belle 堀江,Belle堀江,A:完全一致,68
【韓国肌管理｜ハーブピーリング】ニキビケア専門店Belle小倉,Belle小倉,A:完全一致,66
【ハーブピーリング｜ニキビケア】韓国肌管理Belle松本,Belle松本,A:完全一致,65
【毛穴/ハーブピーリング】韓国肌管理Belle 本八幡,Belle本八幡,A:完全一致,61
【毛穴｜ハーブピーリング】韓国肌管理Belle 浦安,Belle浦安,A:完全一致,59
【韓国肌管理｜ハーブピーリング】ニキビケア専門店Belle門前仲町,Belle門前仲町,A:完全一致,58
【毛穴｜ハーブピーリング】韓国肌管理Belle 新橋,Belle新橋,A:完全一致,58
【毛穴｜ハーブピーリング】韓国肌管理Belle 松江,Belle松江,A:完全一致,54
【毛穴専門店】毛穴LABO 仙台,LABO仙台,A:完全一致,53
【小顔・痩身】小顔専門店Lift(リフト)仙台,Lift仙台,A:完全一致,51
【毛穴｜ハーブピーリング】韓国肌管理Belle 練馬,Belle練馬,A:完全一致,51
【ハーブピーリング｜ニキビケア】韓国肌管理 Belle赤羽,Belle赤羽,A:完全一致,51
小顔・痩身専門店Lift（リフト）練馬,Lift練馬,A:完全一致,50
【毛穴｜ハーブピーリング】韓国肌管理Belle 新横浜,Belle新横浜,A:完全一致,50
【小顔・痩身・毛穴・ハーブピーリング】専門店Lift 京都河原町(旧:Belle),Lift京都河原町,A:完全一致,49
【ハーブピーリング｜ニキビケア】韓国肌管理Belle 津田沼,Belle津田沼,A:完全一致,48
【毛穴｜ハーブピーリング】韓国肌管理Belle 泉中央,Belle泉中央,A:完全一致,48
【ハーブピーリング｜ニキビケア】韓国肌管理Belle 所沢,Belle所沢,A:完全一致,46
【ハーブピーリング l ニキビケア】韓国肌管理Belle つくば,Belleつくば,A:完全一致,46
【毛穴｜ハーブピーリング】韓国肌管理Belle 西宮北口,Belle西宮北口,A:完全一致,45
【毛穴│ハーブピーリング】韓国肌管理Belle 宇都宮,Belle宇都宮,A:完全一致,45
【毛穴｜ハーブピーリング】韓国肌管理Belle 小田急相模原,Belle小田急相模原,A:完全一致,44
【小顔・痩身】小顔専門店Lift(リフト)藤沢,直営 藤沢,A:完全一致,42
【毛穴｜ハーブピーリング】韓国肌管理Belle 大森,Belle大森,A:完全一致,41
ハーブピーリングLIME名古屋,LIME名古屋,A:完全一致,40
【毛穴｜ハーブピーリング】韓国肌管理Belle 四条大宮,Belle四条大宮,A:完全一致,40
ハーブピーリングLIME梅田,直営 梅田,A:完全一致,40
【毛穴｜ハーブピーリング】韓国肌管理Belle 姫路,Belle姫路,A:完全一致,39
【毛穴｜ハーブピーリング】韓国肌管理Belle 駒沢大学駅前,Belle駒沢大学駅前,A:完全一致,38
【毛穴｜ハーブピーリング】韓国肌管理Belle 綱島,Belle綱島,A:完全一致,38
【毛穴｜ハーブピーリング】韓国肌管理Belle 銀座,Belle銀座,A:完全一致,38
【小顔・痩身】小顔専門店Lift(リフト)銀座,Lift銀座,A:完全一致,38
【毛穴｜ハーブピーリング】韓国肌管理Belle 郡山,Belle郡山,A:完全一致,38
【毛穴/ハーブピーリング】韓国肌管理Belle 布施,Belle布施,A:完全一致,37
【小顔・痩身】小顔専門店Lift(リフト)天神,Lift天神,A:完全一致,37
【毛穴｜ハーブピーリング】韓国肌管理Belle 天神,Belle天神,A:完全一致,37
【毛穴｜ハーブピーリング】韓国肌管理Belle 浜松,Belle浜松,A:完全一致,37
【毛穴｜ハーブピーリング】韓国肌管理Belle 志木,Belle志木,A:完全一致,36
【小顔・痩身/ハーブピーリング】LIME 二子玉川,直営 二子玉川,A:完全一致,36
【毛穴｜ハーブピーリング】韓国肌管理Belle 京都河原町,Belle京都河原町,A:完全一致,35
小顔専門店Lift(リフト)札幌大通,Lift札幌大通,A:完全一致,29
【毛穴｜ハーブピーリング】韓国肌管理Belle 桜木町,Belle桜木町,A:完全一致,28
【毛穴｜ハーブピーリング】韓国肌管理Belle 梅田,直営 梅田,A:完全一致,25
【毛穴｜ハーブピーリング】韓国肌管理Belle 盛岡,Belle盛岡,A:完全一致,24
【毛穴｜ハーブピーリング】韓国肌管理Belle 日暮里,Belle日暮里,A:完全一致,24
【小顔・痩身】小顔専門店Lift 日暮里,Lift日暮里,A:完全一致,24
【毛穴｜ハーブピーリング】韓国肌管理Belle 平塚,Belle平塚,A:完全一致,19
【毛穴/ハーブピーリング】韓国肌管理Belle 高槻,Belle高槻,A:完全一致,19
【毛穴｜ハーブピーリング】韓国肌管理Belle 広島,Belle広島,A:完全一致,18
小顔専門店Lift(痩身・リフト)布施,Lift布施,A:完全一致,17
【毛穴｜ハーブピーリング】韓国肌管理Belle 辻堂,Belle辻堂,A:完全一致,17
【毛穴｜ハーブピーリング】韓国肌管理Belle 代々木,Belle代々木,A:完全一致,16
【毛穴｜ハーブピーリング】韓国肌管理Belle 難波,Belle難波,A:完全一致,10
LIME高崎ByAnela【アネラ】,LIME高崎,A:完全一致,9
【ハーブピーリング｜ニキビケア】韓国肌管理Belle 桜木町,Belle桜木町,A:完全一致,6
小顔専門店Lift(リフト)仙台,Lift仙台,A:完全一致,3
【毛穴｜ハーブピーリング】韓国肌管理Belle 入間市,Belle入間市,A:完全一致,1
【小顔/痩身・ハーブピーリング】LIME 大宮,直営 大宮,B:地名一致,432
【小顔・痩身】小顔専門店Lift(リフト)大宮,直営 大宮,B:地名一致,380
小顔専門店Lift(リフト)錦糸町,直営 錦糸町,B:地名一致,374
小顔専門店Lift(リフト)横浜　 旧：【毛穴&ピーリング】毛穴専門店 lime’ 横浜,直営 横浜,B:地名一致,359
【毛穴・ハーブピーリング】LIME 横浜,直営 横浜,B:地名一致,359
小顔専門店Lift(リフト)北千住,直営 北千住,B:地名一致,265
小顔専門店Lift(リフト)西船橋,直営 西船橋,B:地名一致,221
【小顔・ハーブピーリング】Lime中目黒　研修生サロン,Lime中目黒,B:地名一致,219
【小顔・痩身】小顔専門店Lift(リフト)川崎,直営 川崎,B:地名一致,198
【小顔・痩身】小顔専門店Lift(リフト)渋谷,直営 渋谷,B:地名一致,195
ハーブピーリング LIME 柏,直営 柏,B:地名一致,194
【ハーブピーリング｜ニキビケア】韓国肌管理Belle 柏　旧：【小顔・痩身専門店】LIME,直営 柏,B:地名一致,193
小顔専門店Lift(リフト)柏,直営 柏,B:地名一致,193
【毛穴専門店】毛穴LABO 柏　旧：【小顔専門店】Celle ,直営 柏,B:地名一致,193
【小顔・痩身】小顔専門店Lift(リフト)池袋東口,直営 池袋東口,B:地名一致,159
【小顔・痩身】小顔専門店Lift(リフト)新宿三丁目,直営 新宿三丁目,B:地名一致,129
ハーブピーリング | ニキビケア　韓国肌管理Belle那覇おもろまち,Belle那覇おもろまち,B:地名一致,119
【小顔・痩身】小顔専門店Lift(リフト)日本橋,直営 日本橋,B:地名一致,101
【毛穴｜ハーブピーリング】韓国肌管理Belle 吉祥寺,直営 吉祥寺,B:地名一致,66
【小顔・痩身】小顔専門店Lift(リフト)吉祥寺,直営 吉祥寺,B:地名一致,63
小顔専門店Lift (リフト) 大宮,直営 大宮,B:地名一致,51
小顔専門店Lift(リフト)新宿三丁目,直営 新宿三丁目,B:地名一致,40
【小顔・痩身】小顔専門店Lift(リフト)二子玉川,直営 二子玉川,B:地名一致,34
小顔専門店Lift(リフト)川崎,直営 川崎,B:地名一致,31
小顔専門店Lift(リフト)渋谷,直営 渋谷,B:地名一致,13
【小顔・痩身】小顔専門店Lift (リフト) 大宮,直営 大宮,B:地名一致,10
小顔専門店Lift(リフト)池袋東口,直営 池袋東口,B:地名一致,10
小顔専門店Lift(リフト)日本橋,直営 日本橋,B:地名一致,7
小顔専門店Lift(リフト)吉祥寺,直営 吉祥寺,B:地名一致,3
美肌小顔専門店 Rerise 磐田 【小顔/毛穴/脱毛/痩身】,（対象外）,E:集計対象外,567
小顔専門店Lift(リフト)下北沢,Belle下北沢,確定:同一店舗,414
小顔/肌質改善/痩身専門店　LIME 松本,LIME松本,確定:別店舗,103
【毛穴｜ハーブピーリング】韓国肌管理Belle 博多 ,Belle博多,確定,58
【毛穴｜ハーブピーリング】韓国肌管理Belle 代々木店,Belle代々木,確定:同一店舗,48
【ハーブピーリング｜小顔・痩身｜毛穴洗浄】韓国肌管理 Belle　後楽園・春日,Belle後楽園・春日,確定,41
【ホワイトニング/ハーブピーリング】ニキビケア専門店　韓国肌管理Belle plus 新大阪,Belle Plus新大阪,確定,34
